DGI,NYSE,STOCK,USD,0.01,DigitalGlobe,DigitalGlobe
LDL,NYSE,STOCK,USD,0.01,Lydall,Lydall
HBHC,NASDAQ,STOCK,USD,0.01,Hancock Holding Company Common Stoc,Hancock Holding Company Common Stoc
IBTX,NASDAQ,STOCK,USD,0.01,Independent Bank Group,Independent Bank Group
AGX,NYSE,STOCK,USD,0.01,Argan,Argan
MTZ,NYSE,STOCK,USD,0.01,MasTec,MasTec
PWR,NYSE,STOCK,USD,0.01,Quanta Services,Quanta Services
MYRG,NASDAQ,STOCK,USD,0.01,MYR Group,MYR Group
PATK,NASDAQ,STOCK,USD,0.01,Patrick Industries,Patrick Industries
THO,NYSE,STOCK,USD,0.01,Thor Industries,Thor Industries
BAK,NYSE,STOCK,USD,0.01,Braskem SA ADR ,Braskem SA ADR 
KRA,NYSE,STOCK,USD,0.01,Kraton Corporation Common Stock ,Kraton Corporation Common Stock 
TSE,NYSE,STOCK,USD,0.01,Trinseo S.A. Ordinary Shares ,Trinseo S.A. Ordinary Shares 
IPHS,NASDAQ,STOCK,USD,0.01,Innophos Holdings,Innophos Holdings
SAIC,NYSE,STOCK,USD,0.01,SCIENCE APPLICATIONS INTERNATIONAL ,SCIENCE APPLICATIONS INTERNATIONAL
COTV,NYSE,STOCK,USD,0.01,Cotiviti Holdings,Cotiviti Holdings
EBIX,NASDAQ,STOCK,USD,0.01,Ebix,Ebix
WIX,NASDAQ,STOCK,USD,0.01,Wix.com Ltd. Ordinary Shares ,Wix.com Ltd. Ordinary Shares 
CSC,NYSE,STOCK,USD,0.01,Computer Sciences Corporation Commo,Computer Sciences Corporation Commo
CPLA,NASDAQ,STOCK,USD,0.01,Capella Education Company Common St,Capella Education Company Common St
SANM,NASDAQ,STOCK,USD,0.01,Sanmina Corporation Common Stock ,Sanmina Corporation Common Stock 
IDCC,NASDAQ,STOCK,USD,0.01,InterDigital,InterDigital
COHR,NASDAQ,STOCK,USD,0.01,Coherent,Coherent
ITRI,NASDAQ,STOCK,USD,0.01,Itron,Itron
CRUS,NASDAQ,STOCK,USD,0.01,Cirrus Logic,Cirrus Logic
AEIS,NASDAQ,STOCK,USD,0.01,Advanced Energy Industries,Advanced Energy Industries
AMAT,NASDAQ,STOCK,USD,0.01,Applied Materials,Applied Materials
PI,NASDAQ,STOCK,USD,0.01,Impinj,Impinj
AIRG,NASDAQ,STOCK,USD,0.01,Airgain,Airgain
ARLP,NASDAQ,STOCK,USD,0.01,Alliance Resource Partners,Alliance Resource Partners
WRLD,NASDAQ,STOCK,USD,0.01,World Acceptance Corporation Common,World Acceptance Corporation Common
PJC,NYSE,STOCK,USD,0.01,Piper Jaffray Companies Common Stoc,Piper Jaffray Companies Common Stoc
NXRT,NYSE,STOCK,USD,0.01,NexPoint Residential Trust,NexPoint Residential Trust
LTXB,NASDAQ,STOCK,USD,0.01,LegacyTexas Financial Group Inc. Co,LegacyTexas Financial Group Inc. Co
MGPI,NASDAQ,STOCK,USD,0.01,MGP Ingredients,MGP Ingredients
KNSL,NASDAQ,STOCK,USD,0.01,Kinsale Capital Group,Kinsale Capital Group
WB,NASDAQ,STOCK,USD,0.01,Weibo Corporation American Deposita,Weibo Corporation American Deposita
GIMO,NYSE,STOCK,USD,0.01,Gigamon Inc. Common Stock ,Gigamon Inc. Common Stock 
ISLE,NASDAQ,STOCK,USD,0.01,Isle of Capri Casinos,Isle of Capri Casinos
TEX,NYSE,STOCK,USD,0.01,Terex Corporation Common Stock ,Terex Corporation Common Stock 
JBT,NYSE,STOCK,USD,0.01,John Bean Technologies Corporation ,John Bean Technologies Corporation
NDSN,NASDAQ,STOCK,USD,0.01,Nordson Corporation Common Stock ,Nordson Corporation Common Stock 
NOVN,NASDAQ,STOCK,USD,0.01,Novan,Novan
SUPN,NASDAQ,STOCK,USD,0.01,Supernus Pharmaceuticals,Supernus Pharmaceuticals
TBPH,NASDAQ,STOCK,USD,0.01,Theravance Biopharma,Theravance Biopharma
TSRO,NASDAQ,STOCK,USD,0.01,TESARO,TESARO
XNCR,NASDAQ,STOCK,USD,0.01,Xencor,Xencor
WCG,NYSE,STOCK,USD,0.01,Wellcare Health Plans,Wellcare Health Plans
IRTC,NASDAQ,STOCK,USD,0.01,iRhythm Technologies,iRhythm Technologies
IIIN,NASDAQ,STOCK,USD,0.01,Insteel Industries,Insteel Industries
SCHN,NASDAQ,STOCK,USD,0.01,Schnitzer Steel Industries,Schnitzer Steel Industries
NEM,NYSE,STOCK,USD,0.01,Newmont Mining Corporation ,Newmont Mining Corporation 
RGLD,NASDAQ,STOCK,USD,0.01,Royal Gold,Royal Gold
PTEN,NASDAQ,STOCK,USD,0.01,Patterson,Patterson
LUKOY,NYSE,STOCK,USD,0.01,PJSC Lukoil ADR  ,PJSC Lukoil ADR  
FET,NYSE,STOCK,USD,0.01,Forum Energy Technologies,Forum Energy Technologies
GTLS,NASDAQ,STOCK,USD,0.01,Chart Industries,Chart Industries
TRGP,NYSE,STOCK,USD,0.01,Targa Resources,Targa Resources
GMLP,NASDAQ,STOCK,USD,0.01,Golar LNG Partners LP Common Units ,Golar LNG Partners LP Common Units
RMP,NYSE,STOCK,USD,0.01,Rice Midstream Partners LP Common U,Rice Midstream Partners LP Common U
RSPP,NYSE,STOCK,USD,0.01,RSP Permian,RSP Permian
SM,NYSE,STOCK,USD,0.01,SM Energy Company Common Stock ,SM Energy Company Common Stock 
UNT,NYSE,STOCK,USD,0.01,Unit Corporation Common Stock ,Unit Corporation Common Stock 
BURL,NYSE,STOCK,USD,0.01,Burlington Stores,Burlington Stores
DLTH,NASDAQ,STOCK,USD,0.01,Duluth Holdings Inc. Class B Common,Duluth Holdings Inc. Class B Common
PLCE,NASDAQ,STOCK,USD,0.01,Children,Children
TLRD,NYSE,STOCK,USD,0.01,Tailored Brands,Tailored Brands
SPTN,NASDAQ,STOCK,USD,0.01,SpartanNash Company Common Stock ,SpartanNash Company Common Stock 
STLD,NASDAQ,STOCK,USD,0.01,Steel Dynamics,Steel Dynamics
STRP,AMEX,STOCK,USD,0.01,Straight Path Communications Inc. C,Straight Path Communications Inc. C
FNSR,NASDAQ,STOCK,USD,0.01,Finisar Corporation Common Stock ,Finisar Corporation Common Stock 
LITE,NASDAQ,STOCK,USD,0.01,Lumentum Holdings Inc. Common Stock,Lumentum Holdings Inc. Common Stock
UBNT,NASDAQ,STOCK,USD,0.01,Ubiquiti Networks,Ubiquiti Networks
SKYW,NASDAQ,STOCK,USD,0.01,SkyWest,SkyWest
SAIA,NASDAQ,STOCK,USD,0.01,Saia,Saia
SWFT,NYSE,STOCK,USD,0.01,Swift Transportation Company Class ,Swift Transportation Company Class
SJW,NYSE,STOCK,USD,0.01,SJW Group Common Stock  ,SJW Group Common Stock  
KOP,NYSE,STOCK,USD,0.01,Koppers Holdings Inc. Koppers Holdi,Koppers Holdings Inc. Koppers Holdi
SLCA,NYSE,STOCK,USD,0.01,U.S. Silica Holdings,U.S. Silica Holdings
TWLO,NYSE,STOCK,USD,0.01,Twilio Inc. Class A Common Stock ,Twilio Inc. Class A Common Stock 
CGNX,NASDAQ,STOCK,USD,0.01,Cognex Corporation Common Stock ,Cognex Corporation Common Stock 
NVDA,NASDAQ,STOCK,USD,0.01,NVIDIA Corporation Common Stock ,NVIDIA Corporation Common Stock 
CORR,NYSE,STOCK,USD,0.01,CorEnergy Infrastructure Trust,CorEnergy Infrastructure Trust
SODA,NASDAQ,STOCK,USD,0.01,SodaStream International Ltd. Ordin,SodaStream International Ltd. Ordin
JOY,NYSE,STOCK,USD,0.01,Joy Global Inc. Common Stock ,Joy Global Inc. Common Stock 
AVXS,NASDAQ,STOCK,USD,0.01,AveXis,AveXis
OKE,NYSE,STOCK,USD,0.01,ONEOK,ONEOK
CLR,NYSE,STOCK,USD,0.01,Continental Resources,Continental Resources
CWEI,NYSE,STOCK,USD,0.01,Clayton Williams Energy,Clayton Williams Energy
PE,NYSE,STOCK,USD,0.01,Parsley Energy,Parsley Energy
CENT,NASDAQ,STOCK,USD,0.01,Central Garden ,Central Garden
CENTA,NASDAQ,STOCK,USD,0.01,Central Garden ,Central Garden
ACIA,NASDAQ,STOCK,USD,0.01,Acacia Communications,Acacia Communications
CPA,NYSE,STOCK,USD,0.01,Copa Holdings,Copa Holdings
