DIA,2018-11-23,253.61,253.78,242.71,242.81,246.43,PullingBack
GLD,2018-11-23,115.45,116.35,115.37,115.77,115.83,PullingBack
IWM,2018-11-23,151.68,152.03,145.59,147.89,148.50,PullingBack
QQQ,2018-11-23,166.74,166.90,157.13,159.21,161.08,PullingBack
RTH,2018-11-23,103.07,103.37,96.35,97.53,99.08,PullingBack
SLV,2018-11-23,13.53,13.67,13.36,13.42,13.48,PullingBack
SPY,2018-11-23,273.05,273.38,263.07,263.25,266.57,PullingBack
XLB,2018-11-23,55.12,55.42,53.15,53.31,53.96,PullingBack
XLC,2018-11-23,44.73,44.76,42.38,42.89,43.34,PullingBack
XLE,2018-11-23,66.77,67.43,63.44,63.91,64.93,PullingBack
XLF,2018-11-23,26.77,26.90,25.93,26.00,26.28,PullingBack
XLI,2018-11-23,71.87,71.95,69.08,69.73,70.25,PullingBack
XLK,2018-11-23,67.89,67.96,63.38,64.08,65.14,PullingBack
XLP,2018-11-23,56.08,56.39,54.42,54.79,55.20,PullingBack
XLU,2018-11-23,54.80,55.67,53.75,54.11,54.51,PullingBack
XLV,2018-11-23,92.13,92.19,88.98,89.64,90.27,PullingBack
XLY,2018-11-23,106.12,106.43,100.31,102.02,102.92,PullingBack
