AAPL,2018-11-09,204.30,210.12,198.17,204.47,204.25,Stay Long
AMD,2018-11-09,20.12,22.22,18.88,21.03,20.71,Stay Long
FIVE,2018-11-09,120.91,125.75,116.46,121.70,121.30,Stay Long
MSFT,2018-11-09,106.37,112.24,105.90,109.57,109.24,Stay Long
OLLI,2018-11-09,90.00,94.73,87.04,91.28,91.02,Stay Long
PLNT,2018-11-09,48.19,57.66,46.89,54.99,53.18,Stay Long
SUPN,2018-11-09,46.49,47.16,39.67,45.27,44.03,Stay Long
AEO,2018-11-09,22.23,23.10,21.54,21.77,22.14,PullingBack
BJ,2018-11-09,22.27,24.83,22.08,23.12,23.34,PullingBack
GRUB,2018-11-09,95.21,95.59,85.89,88.96,90.15,PullingBack
HAL,2018-11-09,35.37,36.51,34.26,34.98,35.25,PullingBack
IQ,2018-11-09,20.89,22.28,19.70,20.00,20.66,PullingBack
KEM,2018-11-09,22.22,23.13,21.29,21.74,22.05,PullingBack
MU,2018-11-09,40.10,41.43,38.41,39.11,39.65,PullingBack
SQ,2018-11-09,76.87,83.00,71.50,73.27,75.92,PullingBack
TEAM,2018-11-09,76.20,78.00,71.55,73.29,74.28,PullingBack
TLRY,2018-11-09,97.76,142.84,94.55,108.99,115.46,PullingBack
TWTR,2018-11-09,34.26,35.12,33.37,34.08,34.19,PullingBack
VNOM,2018-11-09,32.69,35.16,31.55,31.79,32.83,PullingBack
